Time,RPM,Load,VE,PW,O2,TPS Rate
163099,600,46,28.0,1.5,15.5,0
163150,700,46,28.0,1.5,15.5,0
163201,700,49,28.0,1.5,15.6,0
163252,600,49,28.0,1.5,15.7,0
163303,600,46,28.0,1.5,15.3,0
163354,600,46,28.0,1.5,15.5,0
163405,700,45,28.0,1.5,15.9,0
163456,700,45,28.0,1.5,15.5,0
163507,600,45,28.0,1.5,15.8,0
163558,700,48,28.0,1.5,15.7,0
163609,700,46,28.0,1.5,15.7,0
163660,700,46,28.0,1.5,15.6,0
163711,700,46,28.0,1.5,15.7,0
163762,600,48,28.0,1.5,15.8,0
163813,600,47,28.0,1.5,15.9,0
163864,600,46,28.0,1.5,15.9,0
163915,600,45,28.0,1.5,15.9,0
163966,700,46,28.0,1.5,15.6,0
164017,700,46,28.0,1.5,15.4,0
164068,700,46,28.0,1.5,15.5,0
164119,700,48,28.0,1.5,15.8,0
164170,700,45,28.0,1.5,15.3,0
164221,700,46,28.0,1.5,15.2,0
164272,700,47,28.0,1.5,15.5,0
164323,700,47,28.0,1.5,15.3,0
164374,700,48,28.0,1.5,15.5,0
164425,700,46,28.0,1.5,15.0,0
164476,700,46,28.0,1.5,15.1,0
164527,600,47,28.0,1.5,15.1,0
164578,600,47,28.0,1.5,15.3,0
164629,700,46,28.0,1.5,15.3,0
164680,700,47,28.0,1.5,15.4,0
164731,600,47,28.0,1.5,15.8,0
164782,600,47,28.0,1.5,15.3,0
164833,600,48,28.0,1.5,15.8,0
164884,600,48,28.0,1.5,15.8,0
164935,600,47,28.0,1.5,15.8,0
164986,600,49,28.0,1.5,15.9,0
165037,600,46,28.0,1.5,16.0,0
165088,600,49,28.0,1.5,16.0,0
165139,600,46,28.0,1.5,15.7,0
165190,600,47,28.0,1.5,15.6,0
165241,600,47,28.0,1.5,16.1,0
165292,600,46,28.0,1.5,15.7,0
165343,700,46,28.0,1.5,15.8,0
165394,700,47,28.0,1.5,16.2,0
165445,700,45,27.5,1.4,15.9,0
165496,700,48,27.5,1.4,15.4,0
165547,700,47,27.5,1.4,14.9,0
165598,700,47,27.5,1.4,15.1,0
165649,700,45,27.5,1.4,14.4,0
165700,700,46,27.5,1.4,15.0,0
165751,700,47,27.5,1.4,14.5,0
165802,700,47,27.5,1.4,14.6,0
165853,700,44,27.0,1.4,14.5,0
165904,700,44,27.0,1.4,14.1,0
165955,700,45,27.5,1.4,14.0,0
166006,700,45,27.0,1.4,13.7,0
166057,700,46,27.0,1.4,14.2,0
166108,700,47,27.0,1.4,14.2,0
166159,700,44,27.5,1.4,14.2,0
166210,700,44,27.0,1.4,14.2,0
166261,700,44,27.0,1.4,14.2,0
166312,700,45,27.0,1.4,13.9,0
166363,700,45,27.0,1.4,13.9,0
166414,700,43,27.0,1.4,13.6,0
166465,700,46,27.0,1.4,13.7,0
166516,700,46,27.0,1.4,13.8,0
166567,700,46,27.0,1.4,14.2,0
166618,700,43,27.0,1.4,13.9,0
166669,700,44,27.5,1.4,13.8,0
166720,700,44,27.0,1.4,14.2,0
166771,700,47,27.0,1.4,14.2,0
166822,700,47,27.0,1.4,14.2,0
166873,700,47,27.0,1.4,14.1,0
166924,700,46,27.0,1.4,13.6,0
166975,700,44,27.0,1.4,13.6,0
167026,700,45,27.0,1.4,13.5,0
167077,700,45,27.0,1.4,13.6,0
167128,700,43,27.0,1.4,13.6,0
167179,700,43,27.0,1.4,14.0,0
167230,700,46,27.0,1.4,13.6,0
167281,700,44,27.0,1.4,13.9,0
167332,700,46,27.0,1.4,13.7,0
167383,700,46,27.0,1.4,13.7,0
167434,700,47,27.0,1.4,13.8,0
167485,700,44,27.5,1.4,13.8,0
167536,700,44,27.5,1.4,13.5,0
167587,700,46,27.0,1.4,14.0,0
167638,700,45,27.5,1.4,13.7,0
167689,700,47,27.5,1.4,14.2,0
